Date,Open,High,Low,Close,Volume
05/22/2023,"2,562","2,576","2,557","2,571","164,600"
05/19/2023,"2,555","2,583","2,547","2,567","159,200"
05/18/2023,"2,613","2,613","2,560","2,560","218,200"
05/17/2023,"2,619","2,620","2,594","2,615","154,400"
05/16/2023,"2,623","2,635","2,603","2,627","210,700"
05/15/2023,"2,606","2,629","2,604","2,623","193,900"
05/12/2023,"2,571","2,588","2,555","2,587","147,800"
05/11/2023,"2,575","2,597","2,571","2,576","156,000"
05/10/2023,"2,608","2,609","2,576","2,581","229,300"
05/09/2023,"2,538","2,619","2,512","2,607","415,700"
05/08/2023,"2,596","2,601","2,562","2,588","329,100"
05/02/2023,"2,587","2,608","2,563","2,596","422,300"
05/01/2023,"2,540","2,580","2,539","2,576","279,700"
04/28/2023,"2,504","2,530","2,503","2,530","217,600"
04/27/2023,"2,481","2,485","2,463","2,481","94,500"
04/26/2023,"2,469","2,488","2,463","2,481","114,100"
04/25/2023,"2,482","2,491","2,469","2,474","93,900"
04/24/2023,"2,506","2,513","2,472","2,477","175,700"
04/21/2023,"2,483","2,527","2,475","2,502","290,300"
04/20/2023,"2,463","2,507","2,463","2,477","249,600"
04/19/2023,"2,436","2,462","2,433","2,462","181,800"
04/18/2023,"2,421","2,443","2,419","2,436","182,300"
04/17/2023,"2,419","2,425","2,404","2,420","134,300"
04/14/2023,"2,400","2,429","2,399","2,413","222,000"
04/13/2023,"2,385","2,393","2,373","2,389","117,400"
04/12/2023,"2,379","2,394","2,378","2,378","154,200"
04/11/2023,"2,369","2,386","2,359","2,378","177,400"
04/10/2023,"2,361","2,369","2,343","2,357","117,300"
04/07/2023,"2,362","2,366","2,349","2,351","92,200"
04/06/2023,"2,352","2,369","2,346","2,354","137,900"
04/05/2023,"2,390","2,392","2,353","2,356","173,800"
04/04/2023,"2,393","2,397","2,377","2,395","252,300"
04/03/2023,"2,398","2,400","2,384","2,393","144,300"
03/31/2023,"2,378","2,388","2,367","2,375","167,900"
03/30/2023,"2,358","2,371","2,346","2,366","229,200"
03/29/2023,"2,394","2,413","2,383","2,412","236,200"
03/28/2023,"2,396","2,398","2,366","2,378","134,700"
03/27/2023,"2,395","2,400","2,384","2,388","88,500"
03/24/2023,"2,362","2,392","2,360","2,379","113,100"
03/23/2023,"2,342","2,375","2,340","2,370","133,100"
03/22/2023,"2,375","2,376","2,345","2,357","128,000"
